dataset,energy,energy_sl,energy_sh,field,field_sl,field_sh,yield,yield_sl,yield_sh,converted,excluded
Hitachi 1987,5305,0,0,200.198,0,0,32.52220339,1.711694915,1.711694915,0,0
Hitachi 1987,5305,0,0,439.103,0,0,32.72476271,1.722355932,1.722355932,0,0
Hitachi 1987,5305,0,0,2006.01,0,0,33.04035593,1.738966102,1.738966102,0,0
Hitachi 1987,5305,0,0,2413.73,0,0,32.77854237,1.725186441,1.725186441,0,0
Hitachi 1987,5305,0,0,3774.03,0,0,32.31127119,1.70059322,1.70059322,0,0
Hitachi 1987,5305,0,0,5576.19,0,0,31.61107288,1.663740678,1.663740678,0,0
Hitachi 1987,5305,0,0,6562.72,0,0,31.37682542,1.651411864,1.651411864,0,0
Hitachi 1987,5305,0,0,7617.08,0,0,31.05540339,1.634494915,1.634494915,0,0
Hitachi 1987,5305,0,0,8603.26,0,0,30.70512712,1.616059322,1.616059322,0,0
Hitachi 1987,5305,0,0,10474.1,0,0,30.20784237,1.589886441,1.589886441,0,0
Hitachi 1987,5305,0,0,12310.6,0,0,29.59459322,1.557610169,1.557610169,0,0
Hitachi 1987,5305,0,0,14318.2,0,0,29.30009322,1.542110169,1.542110169,0,0
Hitachi 1987,5305,0,0,16257,0,0,28.74464915,1.512876271,1.512876271,0,0
Hitachi 1987,5305,0,0,18162.4,0,0,28.42139153,1.495862712,1.495862712,0,0
Hitachi 1987,5305,0,0,20101.4,0,0,27.95296102,1.471208475,1.471208475,0,0
Hitachi 1987,5305,0,0,21973,0,0,27.71681356,1.458779661,1.458779661,0,0
Hitachi 1987,5305,0,0,23979.9,0,0,27.16120847,1.429537288,1.429537288,0,0
Hitachi 1987,6120,0,0,780.308,0,0,33.85299153,1.50486107,1.50486107,0,0
Hitachi 1987,6120,0,0,1460.46,0,0,33.61337288,1.494209344,1.494209344,0,0
Hitachi 1987,6120,0,0,1733.75,0,0,33.94024576,1.508739767,1.508739767,0,0
Hitachi 1987,6120,0,0,4147.98,0,0,32.98210169,1.466147557,1.466147557,0,0
Hitachi 1987,6120,0,0,4794.17,0,0,32.77222881,1.456818115,1.456818115,0,0
Hitachi 1987,6120,0,0,9419.32,0,0,31.18380508,1.386208195,1.386208195,0,0
Hitachi 1987,6120,0,0,14079,0,0,29.77395508,1.323536381,1.323536381,0,0
Hitachi 1987,6120,0,0,18977.7,0,0,28.57199492,1.270105857,1.270105857,0,0
Hitachi 1987,6120,0,0,23570.7,0,0,27.63867203,1.22861702,1.22861702,0,0
Hitachi 1987,6120,0,0,28334.3,0,0,26.82410085,1.19240703,1.19240703,0,0
Hitachi 1987,6120,0,0,33098.3,0,0,26.15842373,1.162815803,1.162815803,0,0
Hitachi 1987,6120,0,0,37828.2,0,0,25.46300085,1.131902292,1.131902292,0,0
Agnes 2016,6000,0,0,0,0,0,31.55084746,1.742267564,1.742267564,0,0
Agnes 2016,6000,0,0,50,0,0,31.70860169,0.2161016949,0.2161016949,0,0
Agnes 2016,6000,0,0,100,0,0,31.6455,0.1728813559,0.1728813559,0,0
Agnes 2016,6000,0,0,150,0,0,31.92945763,0.2161016949,0.2161016949,0,0
Agnes 2016,6000,0,0,200,0,0,32.18186441,0.08644067797,0.08644067797,0,0